"","precint","otherStopRatio","label"
"1",1,0.854623674185714,1
"2",5,0.506410490166667,1
"3",6,0.885014212490909,1
"4",7,0.64088555025,1
"5",9,0.41332862394,1
"6",10,0.609386753133333,1
"7",13,0.311296498066667,1
"8",14,0.475981609084615,1
"9",17,0.960323034046154,1
"10",18,1.07429050216923,1
"11",19,1.47831567467273,1
"12",20,1.03595777862857,1
"13",22,0,1
"14",23,0.815540576258333,1
"15",24,0.521251863725,1
"16",25,1.79132184773636,1
"17",26,1.49873928368,1
"18",28,0.56761576733,1
"19",30,1.537067174775,1
"20",32,8.29383402731333,2
"21",33,8.14775315040909,2
"22",34,4.84496363134286,3
"23",40,4.12904274035909,3
"24",41,11.8291585826857,2
"25",42,2.93266426877059,3
"26",43,3.27767333412973,3
"27",44,6.2469850308,3
"28",45,5.21789787901,3
"29",46,5.10225178554,3
"30",47,6.89638345986522,3
"31",48,9.574273548404,2
"32",49,1.13248367254444,1
"33",50,2.16302838844,1
"34",52,1.2313519779,1
"35",60,2.17193406689167,1
"36",61,1.89793584265636,1
"37",62,0.393947368723729,1
"38",63,1.13870686130213,1
"39",66,17.5938411889552,2
"40",67,2.20640201353913,1
"41",68,0.571153928295556,1
"42",69,1.10630190478286,1
"43",70,3.32937791271463,3
"44",71,1.06748504163077,1
"45",72,1.08342452231212,1
"46",73,4.811241008276,3
"47",75,3.20944483893208,3
"48",76,1.88652298140714,1
"49",77,1.55555818527083,1
"50",78,1.59817815428333,1
"51",79,2.88489004749286,3
"52",81,3.66406603954444,3
"53",83,2.58764944440345,1
"54",84,0.761521154757143,1
"55",88,1.02702404932105,1
"56",90,3.60443617246897,3
"57",94,1.50372088850556,1
"58",100,3.18238037421538,3
"59",101,3.92701575813333,3
"60",102,1.66027344128039,1
"61",103,1.12386951213,1
"62",104,2.137578625445,1
"63",105,2.49185545591714,1
"64",106,2.55183491148421,1
"65",107,0.6647739646,1
"66",108,0.527627296848649,1
"67",109,0.551840231162295,1
"68",110,0.153724894432258,1
"69",111,0.5687812986175,1
"70",112,0.52229857328,1
"71",113,4.25047036427447,3
"72",114,1.28142019657742,1
"73",115,0.545223623416216,1
"74",120,0.815211663876087,1
"75",122,1.13690959861136,1
"76",123,0.8882796414,1
